,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
57,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.168722265092241,2021-10-15,100.0,132 days,100.0,-129.81613021314053
58,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.163690426890171,2021-10-15,100.0,132 days,100.0,-129.31294639293353
59,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.1610021576717715,2021-10-17,100.0,130 days,100.0,-129.04411947109358
60,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.1106,2021-10-13,50.0,134 days,50.0,-62.001951851958204
61,2022-02-24,Coinbase Pro,ADA,0.8705609629608357,2.0159917138188046,2021-10-30,1000.0,117 days,50.0,-57.27153754289844
62,2020-07-09,Coinbase Pro,XLM,0.0930035971223021,0.7334769192067639,2018-01-05,100.0,916 days,100.0,-64.04733220844618
63,2020-07-09,Coinbase Pro,XLM,0.0930035971223021,0.2766068188730989,2018-09-24,377.0,654 days,377.0,-69.2184146000504
64,2020-07-09,Coinbase Pro,XLM,0.0930035971223021,0.2698625592921588,2018-11-13,168.0,604 days,79.0,-13.971858011418679
65,2020-07-09,Coinbase Pro,XLM,0.093,0.7334769192067639,2018-01-05,100.0,916 days,100.0,-64.0476919206764
66,2020-07-09,Coinbase Pro,XLM,0.093,0.2766068188730989,2018-09-24,377.0,654 days,100.0,-18.36068188730989
67,2020-07-11,Coinbase Pro,XLM,0.094,0.7334769192067639,2018-01-05,100.0,918 days,100.0,-63.9476919206764
68,2020-07-11,Coinbase Pro,XLM,0.094,0.2766068188730989,2018-09-24,377.0,656 days,100.0,-18.26068188730989
69,2020-07-11,Coinbase Pro,XLM,0.095,0.7334769192067639,2018-01-05,100.0,918 days,100.0,-63.8476919206764
70,2020-07-11,Coinbase Pro,XLM,0.095,0.2766068188730989,2018-09-24,377.0,656 days,100.0,-18.16068188730989
71,2021-05-11,Coinbase,XLM,0.6670113233317664,0.7334769192067639,2018-01-05,100.0,1222 days,30.562767500000007,-2.03137255347651
72,2017-12-31,Binance,BTC,14839.5907854184,16833.703768336814,2017-12-13,0.01782139,18 days,0.0065375,-13.03651362582913
73,2018-01-05,Binance,BTC,18336.9229801691,18336.9229801691,2018-01-05,0.01378504,0 days,0.004,0.0
74,2018-01-09,Binance,BTC,15604.7234082405,18336.9229801691,2018-01-05,0.01378504,4 days,0.005512000000000001,-15.05988404047045
75,2018-01-09,Binance,BTC,15604.7234082405,18336.9229801691,2018-01-05,0.01378504,4 days,0.005508000000000001,-15.048955242182734
76,2018-09-05,Coinbase,BTC,6756.985033278152,18336.9229801691,2018-01-05,0.01378504,243 days,0.01378504,-159.6299077954096
77,2018-09-05,Coinbase,BTC,6756.985033278152,16833.703768336814,2017-12-13,0.01782139,266 days,0.0010144600000000017,-10.222428087967629
78,2020-02-12,Coinbase,BTC,10150.9966373288,18336.9229801691,2018-01-05,0.01378504,768 days,0.01378504,-112.84332207310725
79,2020-02-12,Coinbase,BTC,10150.9966373288,16833.703768336814,2017-12-13,0.01782139,791 days,0.01511163,-100.98659756215463
80,2020-07-14,Coinbase Pro,BTC,9275.0,18336.9229801691,2018-01-05,0.01378504,921 days,0.01378504,-124.91897075855024
81,2020-07-14,Coinbase Pro,BTC,9275.0,16833.703768336814,2017-12-13,0.01782139,944 days,0.01782139,-134.70660775000002
82,2020-07-14,Coinbase Pro,BTC,9275.0,16686.802074503234,2017-12-21,0.00599276,936 days,0.00599276,-44.417151
83,2020-07-14,Coinbase Pro,BTC,9275.0,14839.5907854184,2017-12-31,0.0078,926 days,0.0078,-43.40380812626352
84,2020-07-14,Coinbase Pro,BTC,9275.0,14747.7103463779,2018-01-10,0.01396827,916 days,0.01396827,-76.44429575000004
85,2020-07-14,Coinbase Pro,BTC,9275.0,10043.538740439808,2018-05-04,0.00995665,802 days,0.00995665,-7.652071250000013
86,2020-07-14,Coinbase Pro,BTC,9275.0,9696.127022772638,2020-02-06,0.00651293,159 days,0.00651293,-2.7427708204265984
87,2020-07-14,Coinbase Pro,BTC,9275.0,9517.693541245915,2020-02-06,0.00039967,159 days,0.00039967,-0.09699732762975491
88,2020-07-14,Coinbase Pro,BTC,9275.0,9432.17251582794,2020-07-09,0.35647928,5 days,0.023763289999999992,-3.734936073648939
89,2020-07-21,Coinbase Pro,BTC,9300.0,18336.9229801691,2018-01-05,0.01378504,928 days,0.01378504,-124.57434475855025
90,2020-07-21,Coinbase Pro,BTC,9300.0,16833.703768336814,2017-12-13,0.01782139,951 days,0.01782139,-134.261073
91,2020-07-21,Coinbase Pro,BTC,9300.0,16686.802074503234,2017-12-21,0.00599276,943 days,0.00599276,-44.267331999999996
92,2020-07-21,Coinbase Pro,BTC,9300.0,14839.5907854184,2017-12-31,0.0078,933 days,0.0078,-43.20880812626352
93,2020-07-21,Coinbase Pro,BTC,9300.0,14747.7103463779,2018-01-10,0.01396827,923 days,0.01396827,-76.09508900000003
94,2020-07-21,Coinbase Pro,BTC,9300.0,10043.538740439808,2018-05-04,0.00995665,809 days,0.00995665,-7.403155000000013
95,2020-07-21,Coinbase Pro,BTC,9300.0,9696.127022772638,2020-02-06,0.00651293,166 days,0.00651293,-2.579947570426598
96,2020-07-21,Coinbase Pro,BTC,9300.0,9517.693541245915,2020-02-06,0.00039967,166 days,0.00039967,-0.08700557762975492
97,2020-07-21,Coinbase Pro,BTC,9300.0,9432.17251582794,2020-07-09,0.35647928,12 days,0.023763289999999992,-3.1408538236489396
98,2020-07-21,Coinbase Pro,BTC,9325.0,18336.9229801691,2018-01-05,0.01378504,928 days,0.01378504,-124.22971875855025
99,2020-07-21,Coinbase Pro,BTC,9325.0,16833.703768336814,2017-12-13,0.01782139,951 days,0.01782139,-133.81553825
100,2020-07-21,Coinbase Pro,BTC,9325.0,16686.802074503234,2017-12-21,0.00599276,943 days,0.00599276,-44.117512999999995
101,2020-07-21,Coinbase Pro,BTC,9325.0,14839.5907854184,2017-12-31,0.0078,933 days,0.0078,-43.01380812626352
102,2020-07-21,Coinbase Pro,BTC,9325.0,14747.7103463779,2018-01-10,0.01396827,923 days,0.01396827,-75.74588225000004
103,2020-07-21,Coinbase Pro,BTC,9325.0,10043.538740439808,2018-05-04,0.00995665,809 days,0.00995665,-7.1542387500000135
104,2020-07-21,Coinbase Pro,BTC,9325.0,9696.127022772638,2020-02-06,0.00651293,166 days,0.00651293,-2.4171243204265984
105,2020-07-21,Coinbase Pro,BTC,9325.0,9517.693541245915,2020-02-06,0.00039967,166 days,0.00039967,-0.07701382762975492
106,2020-07-21,Coinbase Pro,BTC,9325.0,9432.17251582794,2020-07-09,0.35647928,12 days,0.023763289999999992,-2.5467715736489396
107,2020-07-21,Coinbase Pro,BTC,9349.977549288871,18336.9229801691,2018-01-05,0.01378504,928 days,0.01378504,-123.88540224250119
108,2020-07-21,Coinbase Pro,BTC,9349.977549288871,16833.703768336814,2017-12-13,0.01782139,951 days,0.01782139,-133.3704036028788
109,2020-07-21,Coinbase Pro,BTC,9349.977549288871,16686.802074503234,2017-12-21,0.00599276,943 days,0.00599276,-43.96782854172362
110,2020-07-21,Coinbase Pro,BTC,9349.977549288871,14839.5907854184,2017-12-31,0.0078,933 days,0.0078,-42.81898324181033
111,2020-07-21,Coinbase Pro,BTC,9349.977549288871,14747.7103463779,2018-01-10,0.01396827,923 days,0.011080090000000003,-59.807365187698196
112,2021-11-12,Coinbase,BTC,63068.19284748329,62836.740328673644,2021-10-19,0.002,24 days,0.00154547,0.357702924244742
113,2021-11-16,Coinbase Pro,BTC,61000.0,62836.740328673644,2021-10-19,0.002,28 days,0.002,-3.6734806573472887
