"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
07/09/2020 21:54:23,Transfer,0f54d0607a37e0cb4e1f73358193c19620b1028b5ad4cd7975de59b6a2ca575a,0.35647928,BTC,...,...,Coinbase Pro - BTC,,,,0.35647928,BTC,...,...,Coinbase - BTC Wallet,,,Transferred Bitcoin To Coinbase Pro,,,...,
07/11/2020 00:52:08,Sell,,18.80,USD,...,...,Coinbase Pro - USD,,,,200.00000000,XLM,...,...,Coinbase Pro - XLM,,,,0.09,USD,...,
07/11/2020 00:53:00,Sell,,19.00,USD,...,...,Coinbase Pro - USD,,,,200.00000000,XLM,...,...,Coinbase Pro - XLM,,,,0.10,USD,...,
07/14/2020 20:39:48,Sell,,927.50,USD,...,...,Coinbase Pro - USD,,,,0.10000000,BTC,...,...,Coinbase Pro - BTC,,,,4.64,USD,...,
07/21/2020 07:43:58,Sell,,930.00,USD,...,...,Coinbase Pro - USD,,,,0.10000000,BTC,...,...,Coinbase Pro - BTC,,,,4.65,USD,...,
07/21/2020 07:44:13,Sell,,932.50,USD,...,...,Coinbase Pro - USD,,,,0.10000000,BTC,...,...,Coinbase Pro - BTC,,,,4.66,USD,...,
07/21/2020 07:44:25,Sell,,528.08,USD,...,...,Coinbase Pro - USD,,,,0.05647928,BTC,...,...,Coinbase Pro - BTC,,,,2.64,USD,...,
07/28/2020 19:19:53,Transfer,,3759.82,USD,...,...,Coinbase - USD Wallet,,,Transferred funds From Coinbase Pro,3759.82,USD,...,...,Coinbase Pro - USD,,,,,,...,
07/28/2020 19:19:54,Send,,,,...,...,,,,,3759.82,USD,...,...,Coinbase - USD Wallet,,,Withdrew funds To Wells Fargo - CHECKING ******1534,,,...,
12/16/2020 07:52:07,Receive,,10.00,USD,...,...,Coinbase - USD Wallet,,,Deposited funds From US Bank - Savings ********5401,,,...,...,,,,,,,...,
12/16/2020 07:52:09,Transfer,,10.00,USD,...,...,Coinbase Pro - USD,,,,10.00,USD,...,...,Coinbase - USD Wallet,,,Transferred funds To Coinbase Pro,,,...,
12/16/2020 07:57:52,Buy,,0.01701275,ETH,...,...,Coinbase Pro - ETH,,,,10.00,USD,...,...,Coinbase Pro - USD,,,,0.05,USD,...,
12/21/2020 05:50:14,Receive,ca625b86f7c34ed42b145bfb8cb025f690ba178c407e14c2c98e2461f4a2cd06,0.00500000,ETH,...,...,ETH Wallet ...C8859C - ETH,0xb53eFe6ded3a59c2cb6A2AF1B1AD0ffF7bC8859C,,,,,...,...,,,,,,,...,
12/21/2020 06:07:16,Transfer,0be825f4e9aaeb39a8aa6fc8dfe4418e46397ff57cd61a3d9f571c1bfb82705d,3.83000000,ETH,...,...,Coinbase - ETH Wallet,,,Received Ethereum From Ethereum address,3.83000000,ETH,...,...,ETH Wallet ...C8859C - ETH,0xb53eFe6ded3a59c2cb6A2AF1B1AD0ffF7bC8859C,,,0.00063000,ETH,...,
12/21/2020 06:13:21,Transfer,0be825f4e9aaeb39a8aa6fc8dfe4418e46397ff57cd61a3d9f571c1bfb82705d,3.83000000,ETH,...,...,Coinbase Pro - ETH,,,,3.83000000,ETH,...,...,Coinbase - ETH Wallet,,,Transferred Ethereum To Coinbase Pro,,,...,
12/21/2020 06:24:53,Sell,,59.56,USD,...,...,Coinbase Pro - USD,,,,0.09306478,ETH,...,...,Coinbase Pro - ETH,,,,0.30,USD,...,
12/21/2020 06:24:53,Sell,,27.89,USD,...,...,Coinbase Pro - USD,,,,0.04358466,ETH,...,...,Coinbase Pro - ETH,,,,0.14,USD,...,
12/21/2020 06:24:53,Sell,,49.75,USD,...,...,Coinbase Pro - USD,,,,0.07773631,ETH,...,...,Coinbase Pro - ETH,,,,0.25,USD,...,
12/21/2020 06:24:53,Sell,,23.40,USD,...,...,Coinbase Pro - USD,,,,0.03656076,ETH,...,...,Coinbase Pro - ETH,,,,0.12,USD,...,
12/21/2020 06:24:54,Sell,,392.20,USD,...,...,Coinbase Pro - USD,,,,0.61280791,ETH,...,...,Coinbase Pro - ETH,,,,1.96,USD,...,
12/21/2020 06:24:57,Sell,,29.69,USD,...,...,Coinbase Pro - USD,,,,0.04639303,ETH,...,...,Coinbase Pro - ETH,,,,0.15,USD,...,
12/21/2020 06:25:00,Sell,,57.51,USD,...,...,Coinbase Pro - USD,,,,0.08985255,ETH,...,...,Coinbase Pro - ETH,,,,0.29,USD,...,
12/26/2020 20:38:15,Sell,,650.00,USD,...,...,Coinbase Pro - USD,,,,1.00000000,ETH,...,...,Coinbase Pro - ETH,,,,3.25,USD,...,
01/03/2021 22:45:25,Sell,,1000.00,USD,...,...,Coinbase Pro - USD,,,,1.00000000,ETH,...,...,Coinbase Pro - ETH,,,,5.00,USD,...,
04/08/2021 18:17:06,Buy,,0.00171948,BTC,...,...,Coinbase Pro - BTC,,,,100.00,USD,...,...,Coinbase Pro - USD,,,,0.50,USD,...,
04/20/2021 00:23:24,Buy,,0.00200000,BTC,...,...,Coinbase Pro - BTC,,,,110.55,USD,...,...,Coinbase Pro - USD,,,,0.55,USD,...,
04/23/2021 01:13:14,Buy,,0.00250000,BTC,...,...,Coinbase Pro - BTC,,,,128.14,USD,...,...,Coinbase Pro - USD,,,,0.64,USD,...,
04/23/2021 01:16:47,Buy,,0.05000000,ETH,...,...,Coinbase Pro - ETH,,,,118.09,USD,...,...,Coinbase Pro - USD,,,,0.59,USD,...,
04/23/2021 09:20:32,Buy,,0.00250000,BTC,...,...,Coinbase Pro - BTC,,,,121.35,USD,...,...,Coinbase Pro - USD,,,,0.60,USD,...,
04/23/2021 09:39:43,Buy,,0.05000000,ETH,...,...,Coinbase Pro - ETH,,,,108.99,USD,...,...,Coinbase Pro - USD,,,,0.54,USD,...,
05/04/2021 08:23:39,Buy,,50.00000000,USDC,...,...,Coinbase - USDC Wallet,,,Bought USD Coin Using Wells Fargo - CHECKING ******1534,50.00,USD,...,...,Coinbase - USD Wallet,,,Bought USD Coin Using Wells Fargo - CHECKING ******1534,,,...,
05/04/2021 08:27:36,Buy,,1591.43000000,USDC,...,...,Coinbase Pro - USDC,,,,1591.43,USD,...,...,Coinbase Pro - USD,,,,,,...,
