,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
60,2020-07-11,Coinbase Pro,XLM,0.095,0.2766068188730989,2018-09-24,377.0,656 days,100.0,-18.16068188730989
61,2021-05-11,Coinbase,XLM,0.6670113233317664,0.7334769192067639,2018-01-05,100.0,1222 days,30.562767500000007,-2.03137255347651
62,2017-12-31,Binance,BTC,14839.5907854184,16833.703768336814,2017-12-13,0.01782139,18 days,0.0065375,-13.03651362582913
63,2018-01-05,Binance,BTC,18336.9229801691,16833.703768336814,2017-12-13,0.01782139,23 days,0.004,6.012876847329142
64,2018-01-09,Binance,BTC,15604.7234082405,16833.703768336814,2017-12-13,0.01782139,27 days,0.0055119999999999995,-6.774139744850888
65,2018-01-09,Binance,BTC,15604.7234082405,16833.703768336814,2017-12-13,0.01782139,27 days,0.005507999999999999,-6.769223823410502
66,2018-09-05,Coinbase,BTC,6756.985033278152,16833.703768336814,2017-12-13,0.01782139,266 days,0.0147995,-149.1303989195007
67,2020-02-12,Coinbase,BTC,10150.9966373288,16833.703768336814,2017-12-13,0.01782139,791 days,0.01782139,-119.0951300374749
68,2020-02-12,Coinbase,BTC,10150.9966373288,16686.802074503234,2017-12-21,0.00599276,783 days,0.00599276,-39.16751339168145
69,2020-02-12,Coinbase,BTC,10150.9966373288,14839.5907854184,2017-12-31,0.0078,773 days,0.00508252,-23.829873529548355
70,2020-07-14,Coinbase Pro,BTC,9275.0,16833.703768336814,2017-12-13,0.01782139,944 days,0.01782139,-134.70660775000002
71,2020-07-14,Coinbase Pro,BTC,9275.0,16686.802074503234,2017-12-21,0.00599276,936 days,0.00599276,-44.417151
72,2020-07-14,Coinbase Pro,BTC,9275.0,14839.5907854184,2017-12-31,0.0078,926 days,0.0078,-43.40380812626352
73,2020-07-14,Coinbase Pro,BTC,9275.0,18336.9229801691,2018-01-05,0.01378504,921 days,0.01378504,-124.91897075855024
74,2020-07-14,Coinbase Pro,BTC,9275.0,14747.7103463779,2018-01-10,0.01396827,916 days,0.01396827,-76.44429575000004
75,2020-07-14,Coinbase Pro,BTC,9275.0,10043.538740439808,2018-05-04,0.00995665,802 days,0.00995665,-7.652071250000013
76,2020-07-14,Coinbase Pro,BTC,9275.0,7542.04691153179,2018-09-02,0.013259,681 days,0.013259,22.977224999999994
77,2020-07-14,Coinbase Pro,BTC,9275.0,6400.0,2018-10-25,0.1,628 days,0.017416890000000018,50.07355875000005
78,2020-07-21,Coinbase Pro,BTC,9300.0,16833.703768336814,2017-12-13,0.01782139,951 days,0.01782139,-134.261073
79,2020-07-21,Coinbase Pro,BTC,9300.0,16686.802074503234,2017-12-21,0.00599276,943 days,0.00599276,-44.267331999999996
80,2020-07-21,Coinbase Pro,BTC,9300.0,14839.5907854184,2017-12-31,0.0078,933 days,0.0078,-43.20880812626352
81,2020-07-21,Coinbase Pro,BTC,9300.0,18336.9229801691,2018-01-05,0.01378504,928 days,0.01378504,-124.57434475855025
82,2020-07-21,Coinbase Pro,BTC,9300.0,14747.7103463779,2018-01-10,0.01396827,923 days,0.01396827,-76.09508900000003
83,2020-07-21,Coinbase Pro,BTC,9300.0,10043.538740439808,2018-05-04,0.00995665,809 days,0.00995665,-7.403155000000013
84,2020-07-21,Coinbase Pro,BTC,9300.0,7542.04691153179,2018-09-02,0.013259,688 days,0.013259,23.308699999999995
85,2020-07-21,Coinbase Pro,BTC,9300.0,6400.0,2018-10-25,0.1,635 days,0.017416890000000018,50.508981000000055
86,2020-07-21,Coinbase Pro,BTC,9325.0,16833.703768336814,2017-12-13,0.01782139,951 days,0.01782139,-133.81553825
87,2020-07-21,Coinbase Pro,BTC,9325.0,16686.802074503234,2017-12-21,0.00599276,943 days,0.00599276,-44.117512999999995
88,2020-07-21,Coinbase Pro,BTC,9325.0,14839.5907854184,2017-12-31,0.0078,933 days,0.0078,-43.01380812626352
89,2020-07-21,Coinbase Pro,BTC,9325.0,18336.9229801691,2018-01-05,0.01378504,928 days,0.01378504,-124.22971875855025
90,2020-07-21,Coinbase Pro,BTC,9325.0,14747.7103463779,2018-01-10,0.01396827,923 days,0.01396827,-75.74588225000004
91,2020-07-21,Coinbase Pro,BTC,9325.0,10043.538740439808,2018-05-04,0.00995665,809 days,0.00995665,-7.1542387500000135
92,2020-07-21,Coinbase Pro,BTC,9325.0,7542.04691153179,2018-09-02,0.013259,688 days,0.013259,23.640174999999996
93,2020-07-21,Coinbase Pro,BTC,9325.0,6400.0,2018-10-25,0.1,635 days,0.017416890000000018,50.94440325000005
94,2020-07-21,Coinbase Pro,BTC,9349.977549288871,16833.703768336814,2017-12-13,0.01782139,951 days,0.01782139,-133.3704036028788
95,2020-07-21,Coinbase Pro,BTC,9349.977549288871,16686.802074503234,2017-12-21,0.00599276,943 days,0.00599276,-43.96782854172362
96,2020-07-21,Coinbase Pro,BTC,9349.977549288871,14839.5907854184,2017-12-31,0.0078,933 days,0.0078,-42.81898324181033
97,2020-07-21,Coinbase Pro,BTC,9349.977549288871,18336.9229801691,2018-01-05,0.01378504,928 days,0.01378504,-123.88540224250119
98,2020-07-21,Coinbase Pro,BTC,9349.977549288871,14747.7103463779,2018-01-10,0.01396827,923 days,0.011080089999999999,-59.807365187698174
99,2021-11-12,Coinbase,BTC,63068.19284748329,16833.703768336814,2017-12-13,0.01782139,1430 days,0.0015454700000000002,71.4540158371485
100,2021-11-16,Coinbase Pro,BTC,61000.0,16833.703768336814,2017-12-13,0.01782139,1434 days,0.01782139,787.10479
101,2021-11-16,Coinbase Pro,BTC,61000.0,16686.802074503234,2017-12-21,0.00599276,1426 days,0.00599276,265.55836
102,2021-11-16,Coinbase Pro,BTC,61000.0,14839.5907854184,2017-12-31,0.0078,1416 days,0.005185850000000002,239.38095812543807
103,2022-01-24,Coinbase Pro,BTC,36306.409440464704,16833.703768336814,2017-12-13,0.01782139,1503 days,0.0140084,272.78145013743637
104,2022-02-11,Coinbase,LRC,1.06,2.70945945945946,2021-11-19,37.0,84 days,37.0,-61.03000000000002
105,2022-02-11,Coinbase,LRC,1.06,2.0452,2021-12-20,200.0,53 days,63.0,-62.06759999999999
106,2022-02-12,Coinbase,LRC,0.9799268655023092,2.70945945945946,2021-11-19,37.0,85 days,37.0,-63.992705976414584
107,2022-02-12,Coinbase,LRC,0.9799268655023092,2.0452,2021-12-20,200.0,54 days,69.467129,-74.00146625438543
